marca,model,varianta,eea_inregistrari,eea_masa_mediana,eea_putere_mediana,eea_co2_mediana,abatere_masa_pct,abatere_putere_pct,abatere_co2_pct,status
BMW,Seria 2 Active Tourer,230e xDrive,366,1920.0,110.0,20.0,-2.9,18.2,-10.0,DE VERIFICAT manual
BMW,Seria 3,320e,203,1845.0,120.0,34.0,-1.6,0.0,0.0,OK
BMW,Seria 3,330e,31668,2140.0,140.0,22.0,0.0,-3.6,0.0,OK
BMW,Seria 3,330e xDrive Touring,31668,2140.0,140.0,22.0,-7.7,-3.6,9.1,DE VERIFICAT manual
BMW,Seria 5,530e,10317,2140.0,140.0,17.0,-3.5,0.0,0.0,OK
BMW,Seria 5,550e xDrive,5433,2285.0,230.0,21.0,-0.9,0.0,0.0,OK
BMW,X1,25e xDrive,29981,1930.0,100.0,18.0,-1.8,0.0,5.6,OK
BMW,X1,30e xDrive,30133,1930.0,100.0,18.0,-0.8,10.0,5.6,OK
BMW,X3,30e xDrive,20523,2140.0,140.0,22.0,-3.0,0.0,13.6,DE VERIFICAT manual
BMW,X5,50e xDrive,14529,2495.0,230.0,21.0,0.0,0.0,0.0,OK
BMW,Seria 7,750e xDrive,642,2455.0,230.0,25.0,4.5,0.0,0.0,OK
Mercedes-Benz,Clasa A,A250e,26583,1775.0,120.0,21.0,-5.4,0.0,9.5,DE VERIFICAT manual
Mercedes-Benz,Clasa B,B250e,1539,1755.0,120.0,19.0,-1.1,0.0,5.3,OK
Mercedes-Benz,CLA,250e Coupé,5369,1750.0,120.0,18.0,-2.6,0.0,11.1,DE VERIFICAT manual
Mercedes-Benz,Clasa C,C300e,14466,2325.0,150.0,13.0,0.0,0.0,7.7,OK
Mercedes-Benz,Clasa C,C300de,23336,2395.0,145.0,12.0,0.0,0.0,8.3,DE VERIFICAT manual
Mercedes-Benz,Clasa E,E300e,6714,2190.0,150.0,14.0,-0.2,0.0,0.0,OK
Mercedes-Benz,Clasa E,E300de 4MATIC,9207,2325.0,145.0,15.0,-1.7,0.0,0.0,OK
Mercedes-Benz,GLA,250e,11729,1810.0,120.0,24.0,-1.9,0.0,-8.3,DE VERIFICAT manual
Mercedes-Benz,GLB,250e,132,1765.0,140.0,178.0,4.8,-14.3,0.0,OK
Mercedes-Benz,GLC,300e 4MATIC,28709,2395.0,145.0,13.0,-6.3,3.4,0.0,DE VERIFICAT manual
Mercedes-Benz,GLE,400e 4MATIC,5819,2780.0,330.0,28.0,-7.7,-43.9,10.7,DE VERIFICAT manual
Mercedes-Benz,Clasa S,S580e,343,2470.0,270.0,19.0,0.2,0.0,10.5,DE VERIFICAT manual
Volvo,XC60,T6 AWD Recharge 350,32186,2150.0,186.0,24.0,-0.7,0.0,-8.3,DE VERIFICAT manual
Volvo,XC60,T8 AWD Recharge 455,42761,2150.0,186.0,24.0,0.7,22.6,0.0,OK
Volvo,XC90,T8 AWD Recharge 455,15947,2297.0,228.0,32.0,3.4,0.0,-9.4,DE VERIFICAT manual
Volvo,S60,T8 AWD Recharge 455,83,2039.0,228.0,16.0,-1.2,0.0,0.0,OK
Volvo,V60,T6 AWD Recharge 350,8990,2064.0,186.0,18.0,0.0,0.0,0.0,OK
Volvo,S90,T8 AWD Recharge 455,74,2119.0,228.0,18.0,1.2,0.0,0.0,OK
Peugeot,308,Hybrid 136 e-DCS6,776,1750.0,110.0,51.0,-0.9,-9.1,123.5,DE VERIFICAT manual
Peugeot,308,Hybrid 180 e-EAT8 PHEV,4170,1734.0,110.0,29.0,-2.9,0.0,0.0,OK
Peugeot,308,Hybrid 225 e-EAT8 PHEV,4170,1734.0,110.0,29.0,-2.1,20.9,-6.9,OK
Peugeot,408,Hybrid 225 e-EAT8 PHEV,2764,1781.0,132.0,31.0,-2.1,0.8,0.0,OK
Peugeot,3008,Hybrid 136 e-DCS6,1541,1953.0,110.0,56.0,0.0,-9.1,117.9,DE VERIFICAT manual
Peugeot,3008,Hybrid4 300 PHEV (gen2),144,1838.0,133.0,28.0,2.0,10.5,3.6,OK
Peugeot,508,Hybrid 225 e-EAT8 PHEV,1506,1846.0,133.0,34.0,-6.3,0.0,0.0,DE VERIFICAT manual
Peugeot,508,PSE Hybrid4 360 PHEV,853,1846.0,133.0,35.0,1.6,10.5,2.9,OK
Citroen,C5 Aircross,Hybrid 136 e-DCS6,385,1949.0,110.0,57.0,-5.3,-9.1,117.5,DE VERIFICAT manual
Citroen,C5 Aircross,Hybrid 225 e-EAT8 PHEV,1978,1845.0,133.0,33.0,-1.4,0.0,-3.0,OK
Citroen,C5 X,Hybrid 225 e-EAT8 PHEV,621,1797.0,132.0,30.0,-0.4,0.8,0.0,OK
DS,DS4,E-Tense 225 PHEV,976,1728.0,132.0,33.0,-0.3,0.8,0.0,OK
DS,DS7,E-Tense 300 4x4 PHEV,5069,1835.0,133.0,32.0,2.7,10.5,3.1,OK
DS,DS9,E-Tense 250 PHEV,135,1939.0,147.0,28.0,-6.4,0.0,-7.1,DE VERIFICAT manual
Opel,Astra,Plug-in Hybrid 180,2946,1717.0,110.0,29.0,-2.3,0.0,0.0,OK
Opel,Astra,Hybrid 136 e-DCS6,317,1736.0,110.0,52.0,-1.1,-9.1,123.1,DE VERIFICAT manual
Opel,Grandland,Plug-in Hybrid 225,2045,1971.0,110.0,20.0,-7.9,20.9,0.0,DE VERIFICAT manual
Opel,Grandland,Hybrid 136 e-DCS6,310,1945.0,110.0,57.0,1.3,-9.1,115.8,DE VERIFICAT manual
Jeep,Renegade,4xe 190 PHEV,2032,1845.0,96.0,48.0,-4.1,0.0,2.1,OK
Jeep,Compass,4xe 240 PHEV,2938,1935.0,132.0,49.0,-3.9,0.0,-4.1,OK
Jeep,Wrangler,4xe 380 PHEV,989,2493.0,200.0,94.0,-3.1,0.0,0.0,OK
Jeep,Avenger,e-Hybrid 100,522,1355.0,74.0,111.0,-5.5,0.0,3.6,OK
Fiat,600,Hybrid 100,123,1355.0,74.0,109.0,-7.7,0.0,2.8,DE VERIFICAT manual
Fiat,500,1.0 Hybrid 70,0,,,,,,,NEGĂSIT în EEA (model non-UE sau denumire diferită)
Fiat,Panda,1.0 Hybrid 70,71,1055.0,52.0,112.0,-3.8,-1.9,0.9,OK
Alfa Romeo,Tonale,Hybrid 160 VGT,104,1910.0,110.0,82.0,0.0,7.3,58.5,DE VERIFICAT manual
Alfa Romeo,Tonale,Plug-In Hybrid Q4 280,2135,1910.0,132.0,31.0,-3.9,0.0,-6.5,OK
Mazda,2 Hybrid,1.5 116,131,1190.0,68.0,92.0,-5.0,0.0,6.5,OK
Mazda,CX-60,2.5 e-Skyactiv PHEV 327,9188,2132.0,141.0,33.0,-3.6,0.0,0.0,OK
